INSTNM,CITY,STABBR,ZIP,CONTROL,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,NPT4_PUB,NPT4_PRIV,TUITIONFEE_PROG,PCTPELL,PCTFLOAN,DEBT_MDN,GRAD_DEBT_MDN_SUPP,ADM_RATE,SAT_AVG,AVGFACSAL,UGDS,C150_4,RET_FT4,CDR3,MD_EARN_WNE_P10
Bluefield University,Bluefield,VA,24605,2,29696.0,29696.0,41806.0,,22198.0,,0.4567,0.6199,13000,21855,0.6272,,5877.0,683.0,0.2714,0.4932,0.0,48896.0
Bridgewater College,Bridgewater,VA,22812-1599,2,41350.0,41350.0,56195.0,,20173.0,,0.2939,0.6477,17500,26000,0.9081,1225.0,7292.0,1388.0,0.4944,0.7749,0.0,53453.0
William & Mary,Williamsburg,VA,23187-8795,1,25040.0,49412.0,41118.0,22529.0,,,0.1208,0.2335,15500,18500,0.3272,1458.0,13070.0,6949.0,0.9101,0.9463,0.0,73490.0
Regent University,Virginia Beach,VA,23464,2,20686.0,20686.0,30550.0,,18749.0,,0.48,0.574,11000,24534,0.4118,1169.0,8365.0,4282.0,0.5409,0.6627,0.0,44498.0
Central School of Practical Nursing,Norfolk,VA,23502,1,,,,7152.0,,7475.0,0.2973,0.0,PS,PS,,,,24.0,,,,59399.0
Central Virginia Community College,Lynchburg,VA,24502-2498,1,4998.0,11001.0,11638.0,5525.0,,,0.3312,0.0301,5500,8625,,,7897.0,2144.0,,,0.0,36627.0
Christopher Newport University,Newport News,VA,23606-3072,1,16351.0,30988.0,32242.0,22197.0,,,0.1457,0.3648,19500,25000,0.8796,1207.0,10608.0,4402.0,0.7508,0.8277,0.0,60509.0
Bryant & Stratton College-Virginia Beach,Virginia Beach,VA,23462,2,18457.0,18457.0,22769.0,,12134.0,,0.6187,0.7605,9500,21549,,,6093.0,1327.0,0.281,0.4,0.0,32568.0
Mountain Gateway Community College,Clifton Forge,VA,24422-1000,1,4878.0,10881.0,13076.0,6307.0,,,0.2442,0.0772,6500,9182,,,6548.0,457.0,,,0.0,34293.0
Danville Community College,Danville,VA,24541-4004,1,4848.0,10851.0,14060.0,7158.0,,,0.3659,0.04,6100,9000,,,7461.0,1371.0,,,0.0,31664.0
Eastern Virginia Medical School,Norfolk,VA,23507,1,,,,,,,,,PS,PS,,,11166.0,,,,0.0,
Centura College-Virginia Beach,Virginia Beach,VA,23452-7431,3,16637.0,16637.0,32123.0,,27538.0,,0.7064,0.6514,10054,14750,,,4729.0,8.0,,,0.0,25930.0
Emory & Henry University,Emory,VA,24327-0947,2,35280.0,35280.0,52311.0,,20591.0,,0.4085,0.659,18460,26332,0.963,1171.0,7571.0,1107.0,0.5375,0.6916,0.0,47385.0
Eastern Mennonite University,Harrisonburg,VA,22802-2462,2,41860.0,41860.0,54378.0,,23615.0,,0.2691,0.5538,16750,24813,0.9975,,6352.0,800.0,0.4709,0.7612,0.0,54869.0
Eastern Shore Community College,Melfa,VA,23410,1,4938.0,10941.0,11859.0,4975.0,,,0.3663,0.0,PS,PS,,,7674.0,433.0,,,,32418.0
Ferrum College,Ferrum,VA,24088-9000,2,38320.0,38320.0,54506.0,,22085.0,,0.4651,0.7481,14250,27000,1.0,990.0,5755.0,745.0,0.2886,0.586,0.0,44296.0
George Mason University,Fairfax,VA,22030-4444,1,13815.0,39397.0,26972.0,18287.0,,,0.2951,0.3425,15750,19500,0.8883,1247.0,13809.0,27083.0,0.6932,0.8735,0.0,76343.0
Germanna Community College,Locust Grove,VA,22508-2102,1,5066.0,11069.0,12278.0,6239.0,,,0.2512,0.041,5500,8400,,,8204.0,5469.0,,,0.0,39644.0
Hampden-Sydney College,Hampden-Sydney,VA,23943-0128,2,52388.0,52388.0,67129.0,,24668.0,,0.22,0.48,19500,26000,0.5013,1168.0,8837.0,876.0,0.6527,0.8495,0.0,67640.0
Hampton University,Hampton,VA,23668-0099,2,29162.0,29162.0,45968.0,,32145.0,,0.3806,0.5636,19500,25442,0.4827,1062.0,7970.0,3254.0,0.5567,0.8478,0.0,59159.0
Hollins University,Roanoke,VA,24020,2,42260.0,42260.0,57481.0,,22263.0,,0.3314,0.589,22925,27000,0.7086,1256.0,7218.0,673.0,0.6968,0.7429,0.0,40075.0
J Sargeant Reynolds Community College,Richmond,VA,23228-2327,1,5136.0,11139.0,11919.0,4553.0,,,0.3004,0.0445,8000,10500,,,7804.0,5284.0,,,0.0,39529.0
James Madison University,Harrisonburg,VA,22807,1,13576.0,30790.0,30213.0,21816.0,,,0.1683,0.3042,17272,20093,0.7625,1247.0,10428.0,20497.0,0.8089,0.9014,0.0,69954.0
Brightpoint Community College,Chester,VA,23831-5316,1,4938.0,10941.0,11686.0,5583.0,,,0.2138,0.0355,5500,9500,,,8006.0,5548.0,,,0.0,41223.0
Liberty University,Lynchburg,VA,24515,2,21222.0,21222.0,41707.0,,29552.0,,0.3908,0.4902,15943,24500,0.9932,,8042.0,50059.0,0.6348,0.7879,0.0,44813.0
Longwood University,Farmville,VA,23909,1,15200.0,27410.0,32870.0,20814.0,,,0.26,0.4943,19000,25000,0.848,1117.0,8727.0,2957.0,0.616,0.7775,0.0,52347.0
Laurel Ridge Community College,Middletown,VA,22645,1,4928.0,10931.0,11552.0,5586.0,,,0.1788,0.0281,5982,9750,,,7758.0,3167.0,,,0.0,41000.0
University of Lynchburg,Lynchburg,VA,24501-3113,2,35540.0,35540.0,48300.0,,20187.0,,0.2731,0.5802,22500,27000,0.8219,1100.0,8232.0,1599.0,0.6162,0.7585,0.0,56380.0
Centra College,Lynchburg,VA,24501,2,12263.0,12263.0,31771.0,,24868.0,,0.4367,0.738,12000,15250,1.0,,7662.0,212.0,1.0,1.0,0.0,60122.0
Mary Baldwin University,Staunton,VA,24401,2,33157.0,33157.0,44435.0,,17833.0,,0.4833,0.6644,12250,26586,,,7996.0,1188.0,0.5566,0.6124,0.0,44427.0
University of Mary Washington,Fredericksburg,VA,22401-5300,1,14559.0,31479.0,29234.0,21108.0,,,0.2024,0.3075,16250,20500,0.8626,1241.0,9548.0,3504.0,0.6738,0.8197,0.0,60613.0
Marymount University,Arlington,VA,22207-4299,2,39050.0,39050.0,55748.0,,25153.0,,0.2211,0.3503,20000,25000,0.8052,,8517.0,1795.0,0.5789,0.76,0.0,67516.0
Sovah School of Health Professions,Danville,VA,24541,3,,,,,,,0.3043,0.4348,PS,PS,,,5458.0,20.0,,,0.0,69924.0
Mountain Empire Community College,Big Stone Gap,VA,24219,1,4863.0,10866.0,14516.0,7226.0,,,0.4149,0.0,PS,PS,,,7207.0,1240.0,,,,32622.0
American National University,Salem,VA,24153,3,10735.0,10735.0,24065.0,,20215.0,,0.7147,0.8095,7567,12814,,,3855.0,643.0,0.2632,0.7143,0.0,26370.0
New River Community College,Dublin,VA,24084-3660,1,4835.0,10837.0,13477.0,6031.0,,,0.2085,0.0322,5998,9000,,,8475.0,1917.0,,,0.0,40025.0
Sentara College of Health Sciences,Chesapeake,VA,23320,2,,,,,,,0.3449,0.5331,15694,19450,,,8848.0,239.0,,,0.0,77821.0
Tidewater Tech-Trades,Norfolk,VA,23502,3,16337.0,16337.0,29882.0,,24671.0,,0.6872,0.5837,9500,9500,,,,514.0,,,0.0,31657.0
Norfolk State University,Norfolk,VA,23504-8000,1,9910.0,21412.0,26093.0,12973.0,,,0.6219,0.5827,17277,29000,0.8746,980.0,9520.0,5495.0,0.3267,0.7197,0.0,44666.0
Northern Virginia Community College,Annandale,VA,22003-3796,1,5703.0,11786.0,15821.0,8554.0,,,0.1986,0.071,7000,11000,,,9529.0,31737.0,,,0.0,53557.0
Old Dominion University,Norfolk,VA,23529,1,12262.0,32662.0,27180.0,14170.0,,,0.3694,0.4217,16300,24000,0.9052,1190.0,10154.0,17521.0,0.4435,0.7592,0.0,54914.0
Patrick & Henry Community College,Martinsville,VA,24112,1,4858.0,10861.0,11242.0,3430.0,,,0.4584,0.0,PS,PS,,,7579.0,1411.0,,,,33323.0
Paul D Camp Community College,Franklin,VA,23851,1,4868.0,10871.0,11678.0,5666.0,,,0.2727,0.0598,5500,6880,,,6802.0,605.0,,,0.0,36031.0
Southside College of Health Sciences,Colonial Heights,VA,23834,2,,,,,,,0.3107,0.5631,12088,13758,,,7409.0,91.0,,,0.0,71380.0
Piedmont Virginia Community College,Charlottesville,VA,22902-7589,1,4928.0,10931.0,12435.0,6347.0,,,0.2539,0.0356,5500,8750,,,7833.0,3032.0,,,0.0,40752.0
Radford University,Radford,VA,24142,1,12286.0,25185.0,26681.0,16640.0,,,0.3537,0.5514,17500,24000,0.9064,1061.0,9459.0,5609.0,0.4962,0.7267,0.0,53739.0
Sylvain Melloul International Hair Academy,Lynchburg,VA,24502,3,,,,,21156.0,20396.0,0.6083,0.6406,8855,9500,,,,153.0,,,0.0,17106.0
Randolph-Macon College,Ashland,VA,23005-5505,2,48002.0,48002.0,61174.0,,27759.0,,0.202,0.5819,22500,27000,0.834,1148.0,8736.0,1489.0,0.746,0.8092,0.0,58448.0
Randolph College,Lynchburg,VA,24503-1555,2,29010.0,29010.0,43838.0,,18436.0,,0.4059,0.5628,17455,26950,0.9494,1109.0,8278.0,520.0,0.5149,0.6803,0.0,53409.0
Rappahannock Community College,Glenns,VA,23149-2616,1,4958.0,10961.0,12149.0,5310.0,,,0.2489,0.0,PS,PS,,,7769.0,1318.0,,,,36121.0
Fortis College-Norfolk,Norfolk,VA,23502-4101,3,14083.0,14083.0,35941.0,,29556.0,,0.6619,0.6187,9396,9500,,,6549.0,431.0,,,0.0,32754.0
Richard Bland College,South Prince George,VA,23805-7100,1,8850.0,14910.0,19405.0,8920.0,,,0.1437,0.1329,5750,11000,0.7189,,7694.0,799.0,,,0.0,41452.0
Bon Secours Memorial College of Nursing,Richmond,VA,23227-1149,2,,,,,,,0.2058,0.4075,23933,26500,,,8465.0,527.0,,,0.0,77014.0
University of Richmond,University of Richmond,VA,23173,2,62600.0,62600.0,77290.0,,33417.0,,0.1755,0.3335,19000,21000,0.2331,1474.0,13886.0,3002.0,0.8784,0.9318,0.0,76178.0
Riverside College of Health Careers,Newport News,VA,23601,2,14875.0,14875.0,29743.0,,25596.0,,0.4792,0.7348,14250,14787,0.1667,,8249.0,325.0,0.625,,0.0,66072.0
Roanoke College,Salem,VA,24153-3794,2,36774.0,36774.0,54059.0,,27786.0,,0.2432,0.8094,22313,27000,0.8007,1193.0,7553.0,1801.0,0.6589,0.7789,0.0,58047.0
Bon Secours St Mary's Hospital School of Medical Imaging,Richmond,VA,23227,2,,,,,,,0.2222,0.3333,PS,PS,,,5669.0,31.0,,,0.0,65432.0
Shenandoah University,Winchester,VA,22601-5195,2,36028.0,36028.0,50500.0,,30055.0,,0.1865,0.5847,19500,25000,0.7784,,8377.0,2127.0,0.7055,0.8168,0.0,58433.0
Southeastern Free Will Baptist Bible College,Wendell,NC,27591-9072,2,11250.0,11250.0,20643.0,,13467.0,,0.3649,0.2432,5000,PS,,,5697.0,74.0,0.5455,0.9333,,
Southern Virginia University,Buena Vista,VA,24416,2,20040.0,20040.0,33066.0,,24014.0,,0.4329,0.5563,14250,24224,0.9964,1099.0,6519.0,967.0,0.3829,0.8246,0.0,50002.0
Southside Virginia Community College,Alberta,VA,23821,1,4848.0,10851.0,13401.0,6194.0,,,0.3419,0.0,PS,PS,,,7510.0,1835.0,,,,32371.0
Southwest Virginia Community College,Cedar Bluff,VA,24609,1,4901.0,10904.0,15885.0,8838.0,,,0.4508,0.0,PS,PS,,,6985.0,1600.0,,,,34221.0
Staunton School of Cosmetology,Staunton,VA,24401-4323,3,,,,,12369.0,17450.0,0.5313,0.7188,9500,PS,,,,25.0,,,0.026,22660.0
Strayer University-Virginia,Arlington,VA,22201,3,13920.0,13920.0,,,,,0.5469,0.1074,14000,40621,,,8533.0,2010.0,0.1333,0.5,0.0,40092.0
Sweet Briar College,Sweet Briar,VA,24595-9998,2,25110.0,25110.0,41832.0,,23383.0,,0.3129,0.5055,21000,27000,0.7174,1227.0,7149.0,463.0,0.481,0.7662,0.0,51943.0
Virginia Peninsula Community College,Hampton,VA,23666,1,4944.0,10947.0,12945.0,6468.0,,,0.2876,0.0655,7130,9500,,,8723.0,3901.0,,,0.0,37996.0
Tidewater Community College,Norfolk,VA,23510,1,5714.0,11717.0,15291.0,7991.0,,,0.2905,0.0911,5810,10000,,,7881.0,11797.0,,,0.0,38349.0
Union Presbyterian Seminary,Richmond,VA,23227,2,,,,,,,,,PS,PS,,,8513.0,,,,0.0,
University of Virginia's College at Wise,Wise,VA,24293-4400,1,11656.0,32540.0,24315.0,11180.0,,,0.3298,0.2148,10695,16750,0.9392,1104.0,9140.0,1214.0,0.4981,0.732,0.0,45325.0
Virginia Highlands Community College,Abingdon,VA,24212-0828,1,4863.0,10866.0,11985.0,5112.0,,,0.4197,0.0,PS,PS,,,7562.0,1335.0,,,,32681.0
Virginia Polytechnic Institute and State University,Blacksburg,VA,24061-0131,1,15478.0,36694.0,32040.0,23790.0,,,0.1501,0.3426,19000,21500,0.5703,1337.0,13512.0,30435.0,0.8628,0.9179,0.0,81698.0
Virginia Western Community College,Roanoke,VA,24015,1,5256.0,11259.0,11892.0,5618.0,,,0.2974,0.049,7200,11000,,,8005.0,3777.0,,,0.0,38787.0
Virginia Commonwealth University,Richmond,VA,23284-2512,1,16458.0,39042.0,34346.0,19452.0,,,0.2971,0.4173,17021,21500,0.9306,1168.0,11878.0,20797.0,0.6538,0.8563,0.0,58128.0
University of Virginia-Main Campus,Charlottesville,VA,22903-2628,1,20986.0,58014.0,38132.0,22881.0,,,0.1371,0.2041,15153,17500,0.1686,1488.0,16881.0,17315.0,0.953,0.9734,0.0,86863.0
Virginia Military Institute,Lexington,VA,24450-0304,1,20484.0,51186.0,33738.0,18849.0,,,0.1647,0.5992,19000,22996,0.8173,1183.0,8676.0,1560.0,0.818,0.8444,0.0,77369.0
Asher Institute of Hampton,Hampton,VA,23666,3,,,,,19593.0,17134.0,0.368,0.2814,7250,PS,,,,118.0,,,,18710.0
Virginia University of Lynchburg,Lynchburg,VA,24501,2,9248.0,9248.0,25548.0,,18184.0,,0.7853,0.7423,9859,24250,,,3733.0,170.0,0.2609,0.75,0.0,28396.0
Virginia State University,Petersburg,VA,23806,1,9755.0,22006.0,24173.0,14553.0,,,0.71,0.7567,17500,26500,0.891,917.0,9216.0,4787.0,0.4072,0.7118,0.0,45543.0
Virginia Union University,Richmond,VA,23220,2,14880.0,14880.0,34960.0,,19580.0,,0.5064,0.456,22500,29000,0.9773,860.0,5649.0,1153.0,0.4133,0.6182,0.0,38275.0
Virginia Wesleyan University,Virginia Beach,VA,23455,2,36960.0,36960.0,51192.0,,20583.0,,0.2617,0.476,14000,27000,0.7129,1281.0,8431.0,1243.0,0.4905,0.6679,0.0,50074.0
Washington and Lee University,Lexington,VA,24450-2116,2,64525.0,64525.0,82990.0,,23911.0,,0.1109,0.1505,16617,19500,0.1736,1504.0,13879.0,1884.0,0.949,0.9538,0.0,94810.0
Wytheville Community College,Wytheville,VA,24382-3308,1,4863.0,10866.0,11952.0,4037.0,,,0.3247,0.0331,6000,7500,,,7566.0,1229.0,,,0.0,34303.0
Bellevue College,Bellevue,WA,98007-6484,1,4305.0,10183.0,19798.0,11289.0,,,0.0977,0.0319,8282,12375,,,10919.0,6901.0,0.335,,0.0,56310.0
Bellingham Technical College,Bellingham,WA,98225-1599,1,4226.0,5555.0,14885.0,4971.0,,,0.3113,0.0864,9500,17459,,,9750.0,1523.0,0.4545,,0.0,49748.0
Big Bend Community College,Moses Lake,WA,98837-3299,1,4909.0,5443.0,19691.0,10875.0,,,0.2944,0.0674,6832,9166,,,9470.0,1281.0,0.3667,,0.0,43814.0
Central Washington University,Ellensburg,WA,98926,1,9192.0,26771.0,25148.0,14715.0,,,0.3114,0.3568,13000,19500,0.9022,,9704.0,8081.0,0.4985,0.6897,0.0,61580.0
Centralia College,Centralia,WA,98531-4099,1,5109.0,5643.0,17550.0,7600.0,,,0.209,0.0,PS,PS,,,8759.0,1476.0,0.4582,,,43140.0
City University of Seattle,Seattle,WA,98121,2,14589.0,14589.0,35049.0,,35049.0,,0.1284,0.1437,14091,25000,,,7809.0,1091.0,0.1667,0.0,0.0,69460.0
Paul Mitchell the School-Richland,Richland,WA,99352,3,,,,,27097.0,19844.0,0.6291,0.6455,8028,9917,,,,288.0,,,0.0,27407.0
Clark College,Vancouver,WA,98663-3598,1,4632.0,10380.0,17485.0,9826.0,,,0.2211,0.1952,6666,10881,,,10634.0,4699.0,0.3574,,0.0,42356.0
Clover Park Technical College,Lakewood,WA,98499-4004,1,6634.0,6634.0,13974.0,3912.0,,,0.1797,0.0506,9063,12112,,,8056.0,2417.0,0.4066,,0.0,41787.0
Columbia Basin College,Pasco,WA,99301,1,6194.0,8239.0,17357.0,8302.0,,,0.2406,0.0349,7506,14829,,,8726.0,4226.0,0.2765,,0.0,46680.0
Cornish College of the Arts,Seattle,WA,98121,2,39913.0,39913.0,55150.0,,39060.0,,0.3002,0.7291,20610,27000,0.7046,,5466.0,480.0,0.5198,0.6855,0.0,33696.0
Divers Institute of Technology,Seattle,WA,98103,3,,,,,40497.0,27500.0,0.3731,0.3974,9355,9500,,,,279.0,,,0.0,62489.0
Eastern Washington University,Cheney,WA,99004-2496,1,8353.0,25892.0,22772.0,13091.0,,,0.3451,0.6753,14053,19500,0.9177,,9945.0,6517.0,0.4721,0.6707,0.0,57897.0
Edmonds College,Lynnwood,WA,98036,1,4669.0,10553.0,20380.0,13461.0,,,0.1457,0.0285,7442,11855,,,9697.0,3354.0,0.3315,,0.0,48144.0
Everett Community College,Everett,WA,98201,1,4301.0,10180.0,19569.0,10627.0,,,0.1574,0.0332,6148,10417,,,8994.0,4378.0,0.3826,,0.0,45434.0
The Evergreen State College,Olympia,WA,98505-0001,1,8999.0,30980.0,25934.0,22585.0,,,0.4108,0.406,15000,20500,0.9723,1161.0,9136.0,2042.0,0.4356,0.682,0.0,45320.0
Pierce College District,Lakewood,WA,98498-1999,1,4686.0,5211.0,17048.0,10123.0,,,0.2019,0.1058,8532,12000,,,8961.0,4487.0,0.3122,,0.0,47532.0
Glen Dow Academy of Hair Design,Spokane,WA,99201,3,,,,,10122.0,15451.0,0.3659,0.3841,7917,9000,,,,90.0,,,,22925.0
Gonzaga University,Spokane,WA,99258-0001,2,53500.0,53500.0,69290.0,,36371.0,,0.1326,0.36,20500,24454,0.7596,1316.0,10610.0,5098.0,0.8687,0.9391,0.0,78892.0
Grays Harbor College,Aberdeen,WA,98520-7599,1,4751.0,10629.0,13677.0,3149.0,,,0.2814,0.0502,7665,11075,,,8612.0,1058.0,0.3156,,0.0,40865.0
Green River College,Auburn,WA,98092-3622,1,4580.0,5105.0,20074.0,12447.0,,,0.1943,0.0873,7125,11891,,,9773.0,4573.0,0.4121,,0.0,50712.0
Toni & Guy Hairdressing Academy-Shoreline,Shoreline,WA,98133,3,,,,,18668.0,12758.0,0.3452,0.4524,7989,9090,,,,127.0,,,0.0,29827.0
